order_id,warehouse_id,delivery_date,user_id
1781793,4,2020-02-01,160591
1781794,1,2020-02-01,758506
1781795,5,2020-02-02,455706
1781796,5,2020-02-01,758526
1781797,2,2020-02-02,609252
1781798,2,2020-02-05,190187
1781799,6,2020-02-01,758519
1781800,2,2020-02-02,220774
1781801,5,2020-02-03,748596
1781802,5,2020-02-01,159980
1781803,1,2020-02-01,750079
1781804,6,2020-02-02,122512
1781805,3,2020-02-03,614109
1781806,1,2020-02-01,163925
1781807,6,2020-02-02,568723
1781808,5,2020-02-02,388510
1781809,6,2020-02-01,696269
1781810,5,2020-02-02,165034
1781811,1,2020-02-02,238561
1781812,2,2020-02-03,487134
1781813,2,2020-02-02,536846
1781814,1,2020-02-01,597189
1781815,2,2020-02-01,361768
1781816,15,2020-02-02,758533
1781817,6,2020-02-01,445268
1781818,6,2020-02-02,94626
1781819,5,2020-02-02,758540
1781820,3,2020-02-02,725963
1781821,5,2020-02-03,347323
1781822,1,2020-02-01,726708
1781823,6,2020-02-02,296139
1781824,1,2020-02-01,119073
1781825,6,2020-02-02,496942
1781826,6,2020-02-01,758531
1781827,1,2020-02-02,481776
1781828,2,2020-02-02,720890
1781829,6,2020-02-02,557620
1781830,1,2020-02-01,758502
1781831,1,2020-02-04,694502
1781832,15,2020-02-02,744663
1781833,2,2020-02-02,354427
1781834,1,2020-02-01,73550
1781835,6,2020-02-02,740358
1781836,6,2020-02-02,170761
1781837,3,2020-02-02,706062
1781838,1,2020-02-01,310084
1781839,5,2020-02-04,501805
1781841,1,2020-02-01,758543
1781843,2,2020-02-01,407285
1781844,3,2020-02-02,573239
1781845,3,2020-02-01,619458
1781847,5,2020-02-01,447319
1781848,6,2020-02-01,758544
1781849,2,2020-02-01,270549
1781850,3,2020-02-02,756568
1781851,2,2020-02-02,446114
1781852,5,2020-02-05,630875
1781853,5,2020-02-01,48475
1781854,6,2020-02-02,108569
1781855,6,2020-02-02,68452
1781856,4,2020-02-01,672182
1781857,1,2020-02-02,469366
1781858,6,2020-02-02,290784
1781859,5,2020-02-02,758545
1781860,2,2020-02-01,628408
1781861,2,2020-02-03,219350
1781862,5,2020-02-02,758538
1781863,6,2020-02-02,186054
1781864,2,2020-02-02,758320
1781865,3,2020-02-01,758546
1781866,2,2020-02-02,744528
1781867,2,2020-02-02,680451
1781868,6,2020-02-02,289263
1781869,4,2020-02-01,420343
1781870,1,2020-02-01,555754
1781871,6,2020-02-03,351155
1781872,6,2020-02-01,675065
1781873,2,2020-02-02,692296
1781874,1,2020-02-02,32604
1781875,4,2020-02-01,672182
1781876,5,2020-02-01,465649
1781877,5,2020-02-01,271335
1781878,3,2020-02-01,60936
1781879,5,2020-02-02,579834
1781880,5,2020-02-02,488913
1781881,1,2020-02-02,435242
1781882,2,2020-02-02,199561
1781883,5,2020-02-03,698842
1781884,5,2020-02-02,758526
1781885,5,2020-02-01,723183
1781886,3,2020-02-03,757111
1781887,6,2020-02-01,758550
1781888,1,2020-02-02,496463
1781889,1,2020-02-01,546887
1781890,2,2020-02-01,555916
1781891,6,2020-02-01,678905
1781892,1,2020-02-02,286016
1781893,2,2020-02-02,758552
1781894,2,2020-02-02,463001
1781895,12,2020-02-01,637452
1781896,2,2020-02-01,758548
1781897,5,2020-02-02,726826
1781898,1,2020-02-01,555030
1781899,1,2020-02-01,607641
1781900,1,2020-02-01,370351
1781901,6,2020-02-01,555532
1781903,6,2020-02-03,625856
1781904,1,2020-02-01,752904
1781905,6,2020-02-02,758555
1781906,1,2020-02-01,756192
