product_id,height,width,length,weight,can_mix
705,10,7,5,NULL,Food
706,21,12,6,NULL,Food
707,14,14,6,105,Toilet
708,3,14,22,105,Food
709,24,19,5,516,Food
710,NULL,NULL,NULL,NULL,Food
711,28,14,3,110,Food
712,10,33,15,358,Food
713,28,14,3,NULL,Food
714,27,15,3,340,Food
715,11,33,26,340,Food
716,5,30,5,156,Food
717,NULL,NULL,NULL,NULL,NULL
718,10,28,28,208,Food
719,14,7,3,NULL,Food
720,3,15,16,250,Food
721,3,14,15,250,Food
722,26,8,3,500,Food
723,7,2.5,30,250,Food
724,2,8,28,250,Food
725,9,11,2,62,NULL
726,10,8,3,100,NULL
727,22.5,9,5,800,Food
728,17,22,5,80,Food
729,10,20,20,1000,NULL
730,3,18,19,324,Food
731,2,18,20,434,Food
732,4,18,12,168,Food
733,25,16.3,5.2,218,Food
734,3,13,23,206,Food
735,25,11,12,301,Food
736,7,12,15,112,Food
737,7,7,7,369,Toilet
738,10,5,7,NULL,NULL
739,2.5,10,10,NULL,Food
740,2.5,10,10,205,Food
741,5,9,9,405,Food
742,2,15,16,103,Food
743,10,30,28.5,31,Food
744,NULL,NULL,NULL,NULL,Food
745,5,14,13,428,Food
746,8.5,5,5,142,Food
747,3,14,14,515,Food
748,18,12,6,800,Food
749,6.3,6,6,150,Food
750,6.3,6,6,150,Food
751,NULL,NULL,NULL,NULL,Food
752,NULL,NULL,NULL,NULL,Food
753,5,12,14,470,Food
754,4,36,4,508,Food
755,20.5,9,2,200,Food
756,20,5.5,5.5,240,Food
757,21,12,6,500,Food
758,16,7,5,350,Food
759,21,10.5,6,500,Food
760,18,8,4,200,Food
761,1,9,18,200,Food
762,18,5,5,190,Food
763,18.5,8.5,3,200,Food
764,18.5,8.5,3,200,NULL
765,18.5,8.5,3,200,NULL
766,20,7,4.5,200,Food
767,18,5,5,190,Food
768,16,9,2,200,Food
769,20,7,4.5,210,NULL
770,19,12,5,500,Food
771,15,4.3,4.3,90,Food
772,2,6,9,16,Food
773,21,13,3,250,Food
774,21,13,3,250,Food
775,27,7,3,250,Food
776,25,4,5,454,Toilet
777,21,8,5,NULL,Food
778,19,5,6.5,245,Food
779,21,14,6,160,Pets
780,15,6.5,5,NULL,Pets
781,5,20,25,1002,Food
782,3,18,24,810,Food
783,22.5,15,6.2,500,Food
784,1,10,15,65,Food
785,4,9,11,80,Food
786,10,13,4,80,Food
787,15.5,12.5,1,65,NULL
788,10,13,4,80,Food
789,10,7.5,7.5,180,Food
790,30,11,5,1074,Toilet
791,1,10.5,15,NULL,NULL
792,19,6,6,NULL,NULL
793,4,NULL,NULL,NULL,NULL
794,4,9,4.2,173,Food
795,19,6,6,436,Food
796,NULL,NULL,NULL,NULL,NULL
797,19,6,6,436,Food
798,NULL,NULL,NULL,NULL,Food
799,10,11,10,104,Toilet
800,8,10,9,74,Toilet
801,12,10,10,56,Toilet
802,8,15,8,90,Toilet
803,NULL,NULL,NULL,NULL,Food
804,23,12.5,10,NULL,NULL
805,3,29,32,594,Food
806,3,24,26,374,Food
807,3,23,26,254,Food
808,25,15,7,192,Food
809,10,10,10,100,Food
810,23,12.5,10,NULL,Food
811,6,20,10,140,Food
812,45,6,20,319,Food
813,17,11,5,NULL,NULL
814,4,14,18,204,Food
815,5,5,5,60,Toilet
816,9,20,9,NULL,NULL
817,22,8,8,20,Food
818,2,21,20,506,Food
819,19,6,6,500,Food
820,21,11,6,335,Food
821,30,8,8,1140,Food
822,NULL,NULL,NULL,NULL,NULL
823,NULL,NULL,NULL,NULL,NULL
824,31,8,8,1142,Food
825,NULL,NULL,NULL,NULL,NULL
826,29,7,7,1121,NULL
827,NULL,NULL,NULL,NULL,NULL
828,8.5,8,33,1368,Food
829,23,12,11,1410,Food
830,6,7.5,7.5,130,Food
831,15,35,2,NULL,NULL
832,33,30,20,524,Food
1009,18,5,3,126,Food
1010,24.5,6.5,6.5,630,Food
1011,4,14,23,1010,Food
1012,5,13,22,1010,Food
1013,3,8,10,NULL,Food
1014,8,7.5,1.5,14,Food
1015,23,5,3,18,Toilet
1016,19,3,3,99,Toilet
1017,19,13,3.5,226,Food
1018,NULL,NULL,NULL,NULL,Food
1019,15,10,1,26,Food
1020,3,16,10,425,Food
1021,7.5,7.5,2.5,30,Food
1022,0.5,13,16,72,Food
1023,17,10,6,264,Toilet
1024,21,10.5,6,1080,Toilet
1025,19,10,8,1080,Toilet
1026,NULL,NULL,NULL,NULL,NULL
1027,37,11,11,2660,Food
1028,NULL,NULL,NULL,NULL,Food
1029,36,11,11,2574,Food
1030,39,11,11,2610,Food
1031,39,11,11,2610,Food
1032,9,8.5,2,42,Food
1033,33,12,1,103,Toilet
1034,7,30,10.5,802,Food
1035,2,13,10,244,Food
1036,NULL,NULL,NULL,NULL,NULL
1037,15,15,5,1000,Food
1038,14,9.5,2,NULL,Food
1039,4,18,24,500,Food
1040,2,23,15,400,NULL
1041,2,21,21,154,Food
1042,5,14,14,248,Food
1043,NULL,NULL,NULL,NULL,NULL
1044,15,10,5,NULL,Food
1045,6,10,10,400,NULL
1046,19,7,4,196,Toilet
1047,18,5,5,184,Toilet
1048,3,15,11,258,Food
1049,5,13,11,506,Food
1050,NULL,NULL,NULL,NULL,Food
1051,20,5.5,5.5,240,Food
1052,25.3,8.5,5,685,NULL
1053,7,26,35,145,Food
1054,6,7.5,7.5,130,Food
1169,13,19,23,NULL,Toilet
1170,18,26,42,1882,Toilet
1171,2.5,5.5,5.5,44,Toilet
1172,19,34,25,1865,Toilet
1173,27.5,9.5,4,500,Toilet
1174,6,19.5,5,128,Toilet
1175,NULL,NULL,NULL,NULL,Toilet
1176,14,10,13,121,Toilet
1177,27.7,9.9,5.7,0.818,Toilet
1178,15,12,12,0.977,Toilet
1179,6,25,37,3040,Toilet
1180,5,23,32,2020,Toilet
1181,3,15,6,302,Toilet
1182,27,22,11.5,NULL,Toilet
1183,33,11,17,3000,Toilet
1184,29,9,6,1300,Toilet
1185,25,11,6,990,Toilet
1186,30,14,9,2344,Toilet
1187,28.7,12.7,5.9,2.139,Toilet
1188,29,13,11,NULL,Toilet
1189,16,8,7,266,Toilet
1190,12,10,4,NULL,Toilet
1191,25,11,5,564,Toilet
1192,13,19,23,NULL,Toilet
1193,24,5.7,5.7,462,Toilet
1194,29,10,10,234,Toilet
1195,8,7,7,120,Food
1196,1,1,1,NULL,Food
1197,1,9,12,32,Food
